PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Digital Media & Journalism - Digital Journalism - Resident,Digital Media & Journalism - Sports Journalism - Resident (0.79); Digital Media & Journalism - Entertainment Journalism - Resident (0.75); Journalism Education Certificate - Resident & Online (0.75); Digital Media & Journalism Major (B.S.) (0.68); Interdisciplinary Studies Major (B.A. or B.S.) (0.58)
Digital Media & Journalism - Entertainment Journalism - Resident,Digital Media & Journalism - Sports Journalism - Resident (0.76); Digital Media & Journalism - Digital Journalism - Resident (0.75); Digital Media & Journalism Major (B.S.) (0.74); Fashion Major (B.S.) (0.68); Family & Consumer Sciences Major (B.S.) (0.67)
Digital Media & Journalism - Sports Journalism - Resident,Digital Media & Journalism - Digital Journalism - Resident (0.79); Digital Media & Journalism - Entertainment Journalism - Resident (0.76); Digital Media & Journalism Major (B.S.) (0.65); Journalism Education Certificate - Resident & Online (0.61); Digital Media & Journalism - Audio - Live Production - Resident (0.57)
Digital Media & Journalism - Video Editing - Resident,Digital Media & Journalism - Video Production - Resident (0.77); Digital Media & Journalism Major (B.S.) (0.72); Digital Media & Journalism - Church Media Production - Resident (0.72); Interdisciplinary Studies Major (B.A. or B.S.) (0.53); Interdisciplinary Research Major (B.S.) (0.53)
Digital Media & Journalism - Video Production - Resident,Digital Media & Journalism - Video Editing - Resident (0.77); Digital Media & Journalism Major (B.S.) (0.77); Digital Media & Journalism - Church Media Production - Resident (0.72); Interdisciplinary Research Major (B.S.) (0.55); Digital Media & Journalism - Audio - Post Production - Resident (0.54)
Digital Media & Journalism Major (B.S.),Interdisciplinary Studies Major (B.A. or B.S.) (0.78); Digital Media & Journalism - Video Production - Resident (0.77); Interdisciplinary Research Major (B.S.) (0.76); Digital Media & Journalism - Church Media Production - Resident (0.75); Digital Media & Journalism - Entertainment Journalism - Resident (0.74)
Divinity (M.Div.) - Biblical Languages (90 hour),Master of Arts in Biblical Languages (M.A.)  (0.88); Religious Studies (B.S.) - Biblical Languages - Resident (0.70); Master of Arts in Biblical Studies (M.A.) (0.66); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.58); Master of Arts in Biblical Exposition (M.A.) (0.50)
Doctor of Business Administration (D.B.A.),Master of Business Administration (M.B.A.) (0.94); Business Administration & Data Analysis Major (B.S.) (0.88); Master of Arts in Interdisciplinary Studies (M.A.) (0.85); Master of Science in Healthcare Administration (M.S.) (0.84); Management & Leadership - Graduate Certificate (0.84)
Doctor of Criminal Justice (D.C.J.),Doctor of Philosophy in Criminal Justice (Ph.D.) (0.98); Criminal Justice - Executive Certificate (0.82); Criminal Justice Major (B.S.) (0.76); Master of Science in Criminal Justice (M.S.) (0.73); Master of Arts in Interdisciplinary Research (M.A.) (0.71)
Doctor of Education in Administration & Supervision (Ed.D.),Education Specialist in Administration & Supervision (Ed.S.) (0.97); School Administration & Supervision - Executive Certificate (0.96); School Administration & Supervision - Graduate Certificate (0.91); Master of Education (M.Ed.) (0.85); Doctor of Education in Educational Leadership (Ed.D.) (0.73)
Doctor of Education in Christian Leadership (Ed.D.),Doctor of Philosophy in Christian Leadership (Ph.D.) (0.95); Doctor of Ministry (D.Min.) (0.83); Master of Arts in Religion (M.A.R.) (0.82); Master of Arts in Applied Ministry (M.A.) (0.80); Master of Divinity (M.Div.) (0.80)
Doctor of Education in Community Care & Counseling (Ed.D.),Education Specialist in Community Care & Counseling (Ed.S.) (0.92); Master of Arts in Pastoral Counseling (M.A.) (0.84); Master of Arts in Human Services Counseling (M.A.) (0.83); Master of Education in Curriculum & Instruction (M.Ed.) (0.81); Master of Arts in Interdisciplinary Studies (M.A.) (0.80)
Doctor of Education in Curriculum & Instruction (Ed.D.),Education Specialist in Curriculum & Instruction (Ed.S.) (0.92); Master of Arts in Educational Studies (M.A.) (0.88); Doctor of Philosophy in Education (Ph.D.) (0.85); Master of Education in Higher Education (M.Ed.) (0.83); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.82)
Doctor of Education in Educational Leadership (Ed.D.),Education Specialist in Educational Leadership (Ed.S.) (0.92); Doctor of Education in Special Education (Ed.D.) (0.92); Doctor of Education in Instructional Design and Technology (Ed.D.) (0.88); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.84); Doctor of Education in Higher Education Administration (Ed.D.)  (0.83)
Doctor of Education in Higher Education Administration (Ed.D.) ,Education Specialist in Higher Education Administration (Ed.S.) (0.95); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.90); Higher Education Administration - Executive Certificate (0.84); Doctor of Education in Educational Leadership (Ed.D.) (0.83); Doctor of Philosophy in Music Education (0.79)
Doctor of Education in Instructional Design and Technology (Ed.D.),Education Specialist in Instructional Design and Technology (Ed.S.) (0.92); Instructional Design & Technology - Executive Certificate (0.89); Doctor of Education in Educational Leadership (Ed.D.) (0.88); Education (Ph.D.) - Instructional Design & Technology (0.87); Doctor of Philosophy in Education (Ph.D.) (0.84)
Doctor of Education in Special Education (Ed.D.),Educational Specialist in Special Education (Ed.S.) (0.92); Doctor of Education in Educational Leadership (Ed.D.) (0.92); Special Education - Executive Certificate (0.88); Education Specialist in Educational Leadership (Ed.S.) (0.84); Doctor of Philosophy in Education (Ph.D.) (0.84)
Doctor of Health Sciences (D.H.Sc.),Doctor of Philosophy in Health Sciences (Ph.D.) (0.77); Master of Arts in Interdisciplinary Studies (M.A.) (0.71); Master of Arts in Applied Ministry (M.A.) (0.70); Master of Science in Healthcare Administration (M.S.) (0.69); Doctor of Business Administration (D.B.A.) (0.69)
Doctor of Law & Policy (D.L.P.),Law & Policy - Executive Certificate (0.87); Doctor of Philosophy in Public Policy (Ph.D.) (0.82); Public Policy - Executive Certificate (0.76); Law and Policy Major (B.A./B.S.) (0.75); Government Major (B.A./B.S.) (0.74)
Doctor of Ministry (D.Min.),Master of Arts in Religion (M.A.R.) (0.89); Master of Divinity (M.Div.) (0.86); Master of Arts in Applied Ministry (M.A.) (0.84); Doctor of Philosophy in Christian Leadership (Ph.D.) (0.84); Religion Major (B.S.) (0.83)
Doctor of Music Education (D.M.E.),Doctor of Philosophy in Music Education (0.78); Doctor of Education in Educational Leadership (Ed.D.) (0.66); Master of Arts in Applied Ministry (M.A.) (0.66); Master of Arts in Interdisciplinary Studies (M.A.) (0.65); Master of Arts in Music Education (M.A.)  (0.64)
Doctor of Nursing Practice (D.N.P.),Nursing Practice (D.N.P.) - Family Nurse Practitioner (0.93); Nursing Practice (D.N.P.) - Psychiatric Mental Health Nurse Practitioner (Post B.S.N.) (0.92); Psychiatric Mental Health Nurse Practitioner - Post Graduate Certificate (0.90); Master of Science in Nursing (M.S.N.) (0.50); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.46)
Doctor of Osteopathic Medicine (D.O.),Interdisciplinary Studies Major (B.A. or B.S.) (0.73); Master of Arts in Interdisciplinary Studies (M.A.) (0.72); Master of Arts in Applied Ministry (M.A.) (0.71); Interdisciplinary Research Major (B.S.) (0.71); Master of Arts in Interdisciplinary Research (M.A.) (0.69)
Doctor of Philosophy in Advanced Educational Studies (Ph.D.),Doctor of Philosophy in Education (Ph.D.) (0.96); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.91); Doctor of Philosophy in Music Education (0.86); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.85); Education Specialist in Curriculum & Instruction (Ed.S.) (0.82)
Doctor of Philosophy in Anatomy & Cell Biology (Ph.D.),Master of Science in Biomedical Sciences (M.S.) (0.93); Master of Arts in Medical Sciences (M.A.) (0.89); Biomedical Sciences Major (B.S.) (0.83); Conservation & Environmental Biology Major (B.S.) (0.81); Biotechnology Major (B.S.) (0.79)
Doctor of Philosophy in Applied Apologetics (Ph.D.),Doctor of Philosophy in Practical Theology (Ph.D.) (0.98); Master of Arts in Applied Ministry (M.A.) (0.64); Doctor of Philosophy in Education (Ph.D.) (0.64); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.64); Doctor of Philosophy in Psychology (Ph.D.) (0.63)
Doctor of Philosophy in Aviation (Ph.D.),Doctor of Philosophy in Educational Research (Ph.D.) (0.74); Master of Science in Aeronautics (M.S.) (0.74); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.69); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.67); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.66)
Doctor of Philosophy in Bible Exposition (Ph.D.),Master of Arts in Biblical Studies (M.A.) (0.80); Master of Arts in Biblical Exposition (M.A.) (0.77); Religious Studies: Bible & Theology Major (B.S.) (0.76); Biblical Studies Major (B.A.) (0.75); Religious Studies Major (B.S.) (0.74)
Doctor of Philosophy in Biblical Studies (Ph.D.),Doctor of Philosophy in Theological Studies (Ph.D.) (0.73); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.71); Doctor of Philosophy in Theology & Apologetics (Ph.D.) (0.70); Doctor of Philosophy in Educational Research (Ph.D.) (0.62); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.62)
Doctor of Philosophy in Business Administration (Ph.D.),Doctor of Philosophy in Organization & Management (Ph.D.) (0.94); Doctor of Business Administration (D.B.A.) (0.82); Business Administration - Executive Certificate (0.78); Doctor of Strategic Leadership (D.S.L.) (0.72); Master of Business Administration (M.B.A.) (0.68)
Doctor of Philosophy in Christian Leadership (Ph.D.),Doctor of Education in Christian Leadership (Ed.D.) (0.95); Doctor of Ministry (D.Min.) (0.84); Master of Arts in Religion (M.A.R.) (0.83); Master of Arts in Applied Ministry (M.A.) (0.81); Master of Divinity (M.Div.) (0.80)
Doctor of Philosophy in Christian Worship (Ph.D.),Doctor of Worship Studies (D.W.S.) (0.81); Doctor of Philosophy in Music Education (0.81); Master of Arts in Worship Studies (M.A.) (0.76); Master of Arts in Music & Worship (M.A.)  (0.73); Worship Music Studies Major (B.S.) (0.71)
Doctor of Philosophy in Communication (Ph.D.),Doctor of Philosophy in Strategic Media (Ph.D.) (0.95); Communication - Executive Certificate (0.86); Master of Arts in Professional Communication (M.A.) (0.80); Communication Major (B.S.) (0.76); Interdisciplinary Research Major (B.S.) (0.76)
Doctor of Philosophy in Counselor Education & Supervision (Ph.D.),Master of Arts in Marriage & Family Therapy (M.A.) (0.81); Master of Education in Curriculum & Instruction (M.Ed.) (0.81); Master of Arts in Marriage & Family Counseling (M.A.) (0.81); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.81); Master of Education in School Counseling (M.Ed.) (0.80)
Doctor of Philosophy in Criminal Justice (Ph.D.),Doctor of Criminal Justice (D.C.J.) (0.98); Criminal Justice - Executive Certificate (0.80); Criminal Justice Major (B.S.) (0.75); Master of Science in Criminal Justice (M.S.) (0.73); Master of Arts in Interdisciplinary Research (M.A.) (0.71)
Doctor of Philosophy in Education (Ph.D.),Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.96); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.90); Doctor of Philosophy in Music Education (0.87); Education Specialist in Curriculum & Instruction (Ed.S.) (0.86); Education Specialist in Educational Leadership (Ed.S.) (0.85)
Doctor of Philosophy in Educational Leadership (Ph.D.),Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.91); Doctor of Philosophy in Education (Ph.D.) (0.90); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.88); Doctor of Philosophy in Educational Research (Ph.D.) (0.87); Education Specialist in Educational Leadership (Ed.S.) (0.87)
Doctor of Philosophy in Educational Research (Ph.D.),Doctor of Philosophy in Educational Leadership (Ph.D.) (0.87); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.86); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.81); Doctor of Philosophy in Education (Ph.D.) (0.78); Doctor of Philosophy in Aviation (Ph.D.) (0.74)
Doctor of Philosophy in Engineering (Ph.D.),Doctor of Philosophy in Educational Research (Ph.D.) (0.49); Doctor of Philosophy in Psychology (Ph.D.) (0.47); Doctor of Philosophy in Applied Apologetics (Ph.D.) (0.46); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.46); Psychology (Ph.D.) - General Psychology (0.46)
Doctor of Philosophy in Health Sciences (Ph.D.),Master of Arts in Interdisciplinary Studies (M.A.) (0.80); Master of Arts in Applied Ministry (M.A.) (0.79); Interdisciplinary Studies Major (B.A. or B.S.) (0.79); Master of Arts in Human Services Counseling (M.A.) (0.79); Doctor of Education in Community Care & Counseling (Ed.D.) (0.79)
Doctor of Philosophy in Higher Education Administration (Ph.D.),Education Specialist in Higher Education Administration (Ed.S.) (0.91); Doctor of Education in Higher Education Administration (Ed.D.)  (0.90); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.88); Doctor of Philosophy in Educational Research (Ph.D.) (0.86); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.85)
Doctor of Philosophy in History (Ph.D.),History - Executive Certificate (0.83); Master of Arts in History (M.A.) (0.70); History Major (B.A. & B.S.)  (0.62); Master of Arts in Public History (M.A.) (0.60); Social Studies Education 6-12 Major (B.Ed.) (0.57)
Doctor of Philosophy in Music Education,Doctor of Philosophy in Education (Ph.D.) (0.87); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.86); Master of Arts in Applied Ministry (M.A.) (0.84); Master of Arts in Interdisciplinary Studies (M.A.) (0.84); Education Specialist in Curriculum & Instruction (Ed.S.) (0.83)
Doctor of Philosophy in Nursing (Ph.D.),Nursing Educational Leadership - Executive Certificate (0.86); Doctor of Philosophy in Education (Ph.D.) (0.63); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.62); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.61); Doctor of Philosophy in Music Education (0.59)
Doctor of Philosophy in Organization & Management (Ph.D.),Doctor of Philosophy in Business Administration (Ph.D.) (0.94); Doctor of Strategic Leadership (D.S.L.) (0.83); Doctor of Business Administration (D.B.A.) (0.82); Master of Business Administration (M.B.A.) (0.73); Business Administration & Data Analysis Major (B.S.) (0.71)
Doctor of Philosophy in Practical Theology (Ph.D.),Doctor of Philosophy in Applied Apologetics (Ph.D.) (0.98); Master of Arts in Applied Ministry (M.A.) (0.62); Master of Arts in Interdisciplinary Studies (M.A.) (0.61); Doctor of Philosophy in Education (Ph.D.) (0.60); Master of Arts in Interdisciplinary Research (M.A.) (0.60)
Doctor of Philosophy in Psychology (Ph.D.),Psychology (Ph.D.) - General Psychology (0.96); Master of Arts in Applied Psychology (M.A.) (0.88); Master of Science in Psychology (M.S.) (0.84); Psychology (Ph.D.) - Theology (0.84); Master of Arts in Applied Ministry (M.A.) (0.84)
Doctor of Philosophy in Public Administration (Ph.D.),Doctor of Public Administration (D.P.A.) (0.98); Public Administration - Executive Certificate (0.85); Master of Public Administration (M.P.A.) (0.72); Doctor of Law & Policy (D.L.P.) (0.72); Public Administration Major (B.S.) (0.69)
Doctor of Philosophy in Public Policy (Ph.D.),Doctor of Law & Policy (D.L.P.) (0.82); Master of Arts in Public Policy (M.A.P.P.) (0.80); Government Major (B.A./B.S.) (0.76); Public Policy - Executive Certificate (0.76); Master of Arts in Interdisciplinary Research (M.A.) (0.73)
Doctor of Philosophy in Strategic Media (Ph.D.),Doctor of Philosophy in Communication (Ph.D.) (0.95); Communication - Executive Certificate (0.87); Interdisciplinary Research Major (B.S.) (0.75); Communication Major (B.S.) (0.75); Master of Arts in Professional Communication (M.A.) (0.74)
Doctor of Philosophy in Theological Studies (Ph.D.),Doctor of Philosophy in Theology & Apologetics (Ph.D.) (0.93); Master of Religious Education (M.R.E.) (0.77); Theology Major (B.S.) (0.76); Master of Arts in Christian Apologetics (M.A.) (0.75); Religion Major (B.S.) (0.75)
Doctor of Philosophy in Theology & Apologetics (Ph.D.),Doctor of Philosophy in Theological Studies (Ph.D.) (0.93); Religious Studies: Bible & Theology Major (B.S.) (0.78); Master of Arts in Interdisciplinary Research (M.A.) (0.78); Religious Studies: Bible & Theology Major (B.A.) (0.78); Master of Religious Education (M.R.E.) (0.77)
Doctor of Psychology in Clinical Psychology (Psy.D.),Human Services Major (B.S.) (0.80); Interdisciplinary Studies Major (B.A. or B.S.) (0.78); Psychology Major (B.S.) (0.77); Master of Arts in Applied Ministry (M.A.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.76)
Doctor of Public Administration (D.P.A.),Doctor of Philosophy in Public Administration (Ph.D.) (0.98); Public Administration - Executive Certificate (0.87); Doctor of Law & Policy (D.L.P.) (0.73); Master of Public Administration (M.P.A.) (0.72); Public Administration Major (B.S.) (0.71)
Doctor of Strategic Leadership (D.S.L.),Doctor of Philosophy in Organization & Management (Ph.D.) (0.83); Strategic Leadership - Executive Certificate (0.80); Doctor of Business Administration (D.B.A.) (0.75); Education (Ph.D.) - Organizational Leadership (0.73); Doctor of Philosophy in Business Administration (Ph.D.) (0.72)
Doctor of Worship Studies (D.W.S.),Master of Arts in Worship Studies (M.A.) (0.95); Master of Arts in Music & Worship (M.A.)  (0.85); Doctor of Philosophy in Christian Worship (Ph.D.) (0.81); Worship Music Studies Major (B.S.) (0.81); Worship Studies - Graduate Certificate (0.79)
Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program),Elementary Education Interdisciplinary Studies Major (B.S.) (0.96); Special Education Interdisciplinary Studies Major (B.S.) (0.95); Master of Arts in Interdisciplinary Studies (M.A.) (0.86); Master of Arts in Applied Ministry (M.A.) (0.85); Interdisciplinary Studies Major (B.A. or B.S.) (0.85)
Early Childhood Education Major (A.A.) (Non-Licensure Program),Education Major (A.A.) (Non-Licensure Program) (0.86); Preschool Certificate - Online (0.82); Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.70); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.67); Bachelor of Education in Special Education - General Curriculum K-12 (0.66)
Earth Science Education Certificate - Online,Physics Education 6-12 Major (B.Ed.) (0.74); Zoo & Wildlife Biology Major (B.S.) (0.73); Elementary Education Interdisciplinary Studies Major (B.S.) (0.68); Geography Major (B.S.) (0.68); Computer Science Cybersecurity Major (B.S.) (0.68)
Education (Ph.D.) - Curriculum & Instruction,Curriculum & Instruction - Executive Certificate (0.97); Education Specialist in Curriculum & Instruction (Ed.S.) (0.78); Doctor of Education in Curriculum & Instruction (Ed.D.) (0.73); Doctor of Philosophy in Education (Ph.D.) (0.72); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.71)
Education (Ph.D.) - Educational Law,Juris Master in American Legal Studies (J.M.) (0.74); Juris Master (J.M.) (0.69); Juris Doctor (J.D.) (0.66); Doctor of Philosophy in Education (Ph.D.) (0.65); Paralegal Studies Major (A.A.) (0.62)
Education (Ph.D.) - Instructional Design & Technology,Instructional Design & Technology - Executive Certificate (0.98); Education Specialist in Instructional Design and Technology (Ed.S.) (0.93); Doctor of Education in Instructional Design and Technology (Ed.D.) (0.87); Doctor of Philosophy in Education (Ph.D.) (0.76); Education Specialist in Curriculum & Instruction (Ed.S.) (0.70)
Education (Ph.D.) - Organizational Leadership,Strategic Leadership - Executive Certificate (0.78); Doctor of Strategic Leadership (D.S.L.) (0.73); Doctor of Philosophy in Organization & Management (Ph.D.) (0.64); Doctor of Business Administration (D.B.A.) (0.60); Master of Science in Project Management (M.S.) (0.58)
Education (Ph.D.) - Special Education,Special Education - Executive Certificate (0.97); Educational Specialist in Special Education (Ed.S.) (0.93); Doctor of Education in Special Education (Ed.D.) (0.83); Doctor of Philosophy in Education (Ph.D.) (0.71); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.68)
Education Major (A.A.) (Non-Licensure Program),Early Childhood Education Major (A.A.) (Non-Licensure Program) (0.86); Theatre Arts Education P-12 Major (B.Ed.) (0.64); Business Education 6-12 Major (B.Ed.) (0.63); Visual Arts Education P-12 Major (B.Ed.) (0.63); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.63)
Education Specialist in Administration & Supervision (Ed.S.),School Administration & Supervision - Executive Certificate (0.99); Doctor of Education in Administration & Supervision (Ed.D.) (0.97); School Administration & Supervision - Graduate Certificate (0.94); Master of Education (M.Ed.) (0.85); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.67)
Education Specialist in Community Care & Counseling (Ed.S.),Doctor of Education in Community Care & Counseling (Ed.D.) (0.92); Master of Arts in Pastoral Counseling (M.A.) (0.83); Master of Arts in Human Services Counseling (M.A.) (0.80); Master of Education in Curriculum & Instruction (M.Ed.) (0.78); Master of Arts in Marriage & Family Therapy (M.A.) (0.76)
Education Specialist in Curriculum & Instruction (Ed.S.),Doctor of Education in Curriculum & Instruction (Ed.D.) (0.92); Doctor of Philosophy in Education (Ph.D.) (0.86); Master of Arts in Teaching (M.A.T.) - 45 hours (0.84); Doctor of Philosophy in Music Education (0.83); Master of Education (M.Ed.) (0.83)
Education Specialist in Educational Leadership (Ed.S.),Doctor of Education in Educational Leadership (Ed.D.) (0.92); Doctor of Philosophy in Educational Leadership (Ph.D.) (0.87); Doctor of Philosophy in Education (Ph.D.) (0.85); Educational Specialist in Special Education (Ed.S.) (0.84); Doctor of Education in Special Education (Ed.D.) (0.84)
Education Specialist in Higher Education Administration (Ed.S.),Doctor of Education in Higher Education Administration (Ed.D.)  (0.95); Doctor of Philosophy in Higher Education Administration (Ph.D.) (0.91); Higher Education Administration - Executive Certificate (0.88); Doctor of Philosophy in Music Education (0.78); Education Specialist in Educational Leadership (Ed.S.) (0.76)
Education Specialist in Instructional Design and Technology (Ed.S.),Education (Ph.D.) - Instructional Design & Technology (0.93); Doctor of Education in Instructional Design and Technology (Ed.D.) (0.92); Instructional Design & Technology - Executive Certificate (0.92); Doctor of Philosophy in Education (Ph.D.) (0.84); Education Specialist in Educational Leadership (Ed.S.) (0.81)
Educational Specialist in Special Education (Ed.S.),Education (Ph.D.) - Special Education (0.93); Special Education - Executive Certificate (0.92); Doctor of Education in Special Education (Ed.D.) (0.92); Education Specialist in Educational Leadership (Ed.S.) (0.84); Doctor of Philosophy in Education (Ph.D.) (0.82)
Educational Technology & Online Instruction - Graduate Certificate,Master of Education in Higher Education (M.Ed.) (0.77); Doctor of Education in Curriculum & Instruction (Ed.D.) (0.65); Master of Arts in Educational Studies (M.A.) (0.64); Master of Education in Curriculum & Instruction (M.Ed.) (0.44); Education Specialist in Curriculum & Instruction (Ed.S.) (0.43)
Electrical Engineering Major (B.S.),Computer Engineering Major (B.S.) (0.94); Civil Engineering Major (B.S.) (0.80); Industrial Engineering Technology Major (B.S.) (0.79); Industrial & Systems Engineering Major (B.S.) (0.75); Engineering Education 6-12 Major (B.Ed.) (0.73)
Elementary Education Interdisciplinary Studies Major (B.S.),Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.96); Special Education Interdisciplinary Studies Major (B.S.) (0.95); Middle Education Major (B.Ed.) (0.86); Master of Arts in Interdisciplinary Studies (M.A.) (0.85); Elementary Education Major (B.Ed.) (0.85)
Elementary Education Major (B.Ed.),Middle Education Major (B.Ed.) (0.99); Bachelor of Education in Special Education - General Curriculum K-12 (0.98); Biology Education 6-12 Major (B.Ed.) (0.94); Chemistry Education 6-12 Major (B.Ed.) (0.90); Physics Education 6-12 Major (B.Ed.) (0.89)
Engineering Education 6-12 Major (B.Ed.),Civil Engineering Major (B.S.) (0.88); Industrial Engineering Technology Major (B.S.) (0.84); Mechanical Engineering Major (B.S.) (0.84); Computer Engineering Major (B.S.) (0.79); Industrial & Systems Engineering Major (B.S.) (0.79)
English & Writing Major (B.S.),Creative Writing Major (B.S.) (0.97); Creative Writing Major (A.A.) (0.92); English Major (B.A.) (0.91); Writing Major (B.S.) (0.90); English Education 6-12 Major (B.Ed.) (0.84)
English Education 6-12 Major (B.Ed.),Elementary Education Major (B.Ed.) (0.85); English Major (B.A.) (0.84); Bachelor of Education in Special Education - General Curriculum K-12 (0.84); Writing Major (B.S.) (0.84); Middle Education Major (B.Ed.) (0.84)
English Major (B.A.),English & Writing Major (B.S.) (0.91); Creative Writing Major (B.S.) (0.86); Writing Major (B.S.) (0.86); English Education 6-12 Major (B.Ed.) (0.84); Creative Writing Major (A.A.) (0.83)
English as a Second Language Education P-12 Major (B.Ed.),Teaching English as a Second Language Major (B.S.)  (0.97); Global and Intercultural Engagement Major (B.S.) (0.96); Spanish Education P-12 Major (B.Ed.) (0.84); Interdisciplinary Studies Major (B.A. or B.S.) (0.81); Elementary Education Major (B.Ed.) (0.79)
Epidemiology - Graduate Certificate,Public Health (M.P.H.) - Epidemiology  (0.98); Master of Public Health (M.P.H.) (0.90); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.82); Public Health (M.P.H.) - Global Health (0.80); Public Health (M.P.H.) - Nutrition (0.80)
Exercise Science & Wellness (M.S.) - Fitness & Performance,Master of Science in Exercise Science & Wellness (M.S.) (0.94); Exercise Science & Wellness (M.S.) - Nutrition & Wellness (0.87); Master of Science in Human Performance (M.S.) (0.82); Master of Arts in Applied Ministry (M.A.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.76)
Exercise Science & Wellness (M.S.) - Nutrition & Wellness,Master of Science in Exercise Science & Wellness (M.S.) (0.95); Master of Science in Human Performance (M.S.) (0.88); Exercise Science & Wellness (M.S.) - Fitness & Performance (0.87); Nutrition - Graduate Certificate (0.81); Public Health (M.P.H.) - Nutrition (0.80)
Exercise Science (B.S.) - Therapeutic Science - Resident,Exercise Science Major (B.S.) (0.91); Biochemistry & Molecular Biology Major (B.S.) (0.89); Biotechnology Major (B.S.) (0.89); General Biology Major (B.S.) (0.88); Zoology Major (B.S.) (0.88)
Exercise Science Major (B.S.),Strength and Conditioning Major (B.S.) (0.92); Exercise Science (B.S.) - Therapeutic Science - Resident (0.91); Interdisciplinary Studies Major (B.A. or B.S.) (0.86); Biomedical Sciences Major (B.S.) (0.86); Physical Education & Health Major (B.S.) (0.86)
Family & Child Development Major (B.S.),Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.81); Family & Consumer Sciences Major (B.S.) (0.80); Interior Design Major (B.S.) (0.74); Interdisciplinary Studies Major (B.A. or B.S.) (0.71); Fashion Major (B.S.) (0.71)
Family & Consumer Sciences (B.S.) - Event Planning - Resident,Family & Consumer Sciences Major (B.S.) (0.80); Interdisciplinary Studies Major (B.A. or B.S.) (0.66); Hospitality Management Major (B.S.) (0.66); Digital Design Major (B.S.) (0.65); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.65)
Family & Consumer Sciences (B.S.) - Professional & Creative Industries - Resident,Family & Consumer Sciences Major (B.S.) (0.81); Fashion Major (B.S.) (0.71); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.68); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.68); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.67)
Family & Consumer Sciences Education 6-12 Major (B.Ed.),Theatre Arts Education P-12 Major (B.Ed.) (0.91); Chemistry Education 6-12 Major (B.Ed.) (0.90); Biology Education 6-12 Major (B.Ed.) (0.90); Elementary Education Major (B.Ed.) (0.89); Bachelor of Education in Special Education - General Curriculum K-12 (0.89)
Family & Consumer Sciences Major (B.S.),Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.83); Family & Consumer Sciences (B.S.) - Professional & Creative Industries - Resident (0.81); Interdisciplinary Studies Major (B.A. or B.S.) (0.80); Family & Child Development Major (B.S.) (0.80); Family & Consumer Sciences (B.S.) - Event Planning - Resident (0.80)
